index;prenom;nom;age;numero_etudiant
1994;Flavien;CARTIER ;33;905140
1995;Nicolas;HUMBERT ;97;50404624
1996;Suzette;MARQUES ;21;16813908
1997;Flore;GOURDON ;76;13454559
1998;Stéphan;BOUVIER ;38;10567009
1999;Fiacre;CONTE ;42;80872704
2000;Catherine;MORENO ;59;70190314
2001;Lydia;JOUVE ;22;17676139
2002;Daniel;SOULIE ;40;94851780
2003;Gabrielle;VALLEE ;63;2927589
2004;Eugénie;BOULANGER ;51;46431463
2005;Agathe;CAILLET ;72;90587788
2006;Ambroisine;GODARD ;47;20976481
2007;Sylvie;DUPIN ;38;56955687
2008;Axellane;GEOFFROY ;57;72803990
2009;Gisèle;GEORGE ;42;99454288
2010;Childebert;PEYRE ;68;57334393
2011;Harmonie;ROBIN ;85;4511134
2012;Aliette;MARY ;98;43025
2013;Guillemette;VIGIER ;37;78543963
2014;Marina;SENECHAL ;67;66144120
2015;Albertet;GALLAND ;97;54490681
2016;Albérade;HERAULT ;70;22940716
2017;Elise;BARTHELEMY ;91;56096240
2018;Hedwige;FRITSCH ;65;66143906
2019;Benoît;RIGAL ;81;68205593
2020;Maxence;HAMEL ;52;9297060
2021;Alphonsie;FUCHS ;84;34683392
2022;Sylvestre;MAGNIN ;70;8765064
2023;Malo;LEROY ;25;55093496
2024;Aloïs;COTTIN ;67;67504450
2025;Lilian;ALLARD ;65;82001720
2026;Mélysandre;PAGE ;78;24913331
2027;Thomas;PUJOL ;56;78046701
2028;Alphée;SERRE ;38;14273945
2029;Morgane;LEBON ;69;50461616
2030;Isidore;BRUNEL ;99;9160373
2031;Axel;DAUPHIN ;66;74804444
2032;Arsènie;MAUREL ;82;20343003
2033;Alexie;RICARD ;89;55705822
2034;Adonis;BAUD ;43;58730726
2035;Ghislain;GUILLOU ;35;49428935
2036;Cassien;ROUSSEL ;84;3952080
2037;Ansbert;PROST ;55;88136728
2038;Perceval;WAGNER ;99;43236530
2039;Charlène;LAPEYRE ;35;70622689
2040;Aulde;MONNET ;88;94561689
2041;Herbert;BILLARD ;49;96320902
2042;Arlette;ROSE ;40;38792801
2043;Elisée;FLEURY ;52;95227349
2044;Bertrand;MILLET ;96;43634748
2045;Maëlys;TISSIER ;78;37063508
2046;Armance;DIJOUX ;76;3815263
2047;Anicée;MUNOZ ;98;64727574
2048;Ambroise;BONNEFOY ;96;33947473
2049;Amalric;RICARD ;92;57789140
2050;Victor;BELLANGER ;74;16012308
2051;Charline;JOURDAN ;25;67001137
2052;Laureline;BRUNEL ;56;86605524
2053;Gustavine;LALLEMENT ;72;32094354
2054;Baptiste;BOIS ;50;50980067
2055;Georgette;CARON ;77;5456519
2056;Amélien;BEAUFILS ;38;16929120
2057;Alexine;PARISOT ;48;36255913
2058;Azelle;FLAMENT ;71;85221227
2059;Théo;PRUDHOMME ;81;80111938
2060;Vanessa;LAGARDE ;26;2560784
2061;Ambrine;BIGOT ;27;72339604
2062;Gerberge;GUILLARD ;38;43151701
2063;Kilian;DELAHAYE ;28;14596527
2064;Denis;CHARBONNIER ;35;4291678
2065;Jocelyn;BENOIT ;85;70743022
2066;Apollinaire;LAMARQUE ;25;75188522
2067;Blaise;LAPLACE ;17;48007277
2068;Philippine;CHATEAU ;72;51671147
2069;Aubérie;SAMSON ;43;80247799
2070;Innocent;PINSON ;46;81676627
2071;Tanguy;BOULAY ;69;34568702
2072;Laureene;SCHWARTZ ;18;73838115
2073;Irina;LENOIR ;91;70947435
2074;Didier;LEGRAND ;49;49905460
2075;Suzanne;JAN ;78;33645666
2076;Agnel;LEFEVRE ;37;74116616
2077;Philomène;LEPAGE ;25;46548567
2078;Grégoire;MILLOT ;17;77366942
2079;Léo;LEVY ;97;86287072
2080;Joséphine;VILLETTE ;74;92776128
2081;Victor;COCHET ;54;64732394
2082;Bertrand;LE MEUR ;39;60206410
2083;Ludovic;CONTE ;63;92829054
2084;Azeline;ANTOINE ;63;26589522
2085;Coraline;GARCIN ;79;97433142
2086;Aphrodite;HONORE ;52;46028860
2087;Christophe;MARTEL ;87;76748443
2088;Aldric;PUECH ;50;22201341
2089;Trajan;TOUTAIN ;52;38929679
2090;Géraud;CLAUDE ;21;43971233
2091;Fabrice;LELIEVRE ;70;14693535
2092;Louis;SELLIER ;43;43986278
2093;Guillaume;BAUDRY ;92;76072472
2094;Chantal;JACOB ;25;23704530
2095;Justine;LESAGE ;47;82545131
2096;Annie;TISSERAND ;39;44221142
2097;Prosper;RICARD ;83;10790377
2098;Eléonore;SEGUIN ;39;73390975
2099;Christine;FAYOLLE ;82;342709
2100;Ludivine;HILAIRE ;68;89605023
2101;Emmanuelle;DESBOIS ;38;49975889
2102;Ansberte;HAMELIN ;78;53353032
2103;Fiona;TERRIER ;79;93690142
2104;Falba;GABRIEL ;27;69038589
2105;Gabrielle;GUERIN ;38;65237346
2106;Emeric;DELATTRE ;33;37161583
2107;Tiphaine;MARY ;26;47955114
2108;Pascal;MARCHAND ;53;71285057
2109;Elise;DELCROIX ;67;63093957
2110;Athanasie;CARRIERE ;39;26606967
2111;Michel;LE FLOCH ;52;98797150
2112;Philothée;PERON ;37;8341797
2113;Victor;JULIEN ;83;86756477
2114;Pierre;SALOMON ;59;48855838
2115;Thérèse;COUDERC ;54;26207746
2116;Anne;JACQUET ;77;30572800
2117;Zéphir;GEORGE ;22;94206944
2118;Ambre;LE BRUN ;51;75367617
2119;Fanny;ADAM ;82;70156869
2120;Aleaume;AMIOT ;25;2435726
2121;Léopold;CHAMPION ;78;98159219
2122;Arthurine;CAILLE ;17;16059509
2123;Ariane;THOMAS ;80;93323316
2124;Murielle;COCHET ;62;12117922
2125;Alphonse;SCHMIDT ;44;21177497
2126;Auguste;FORESTIER ;41;66575634
2127;Naudet;LOPEZ ;36;7734813
2128;Damien;CHARTIER ;46;21726935
2129;Albert;SALLE ;37;41241956
2130;Fulcran;VIAL ;34;43084708
2131;Reybaud;RAIMBAULT ;72;29582757
2132;Timoléon;DELCROIX ;63;60628985
2133;Aymond;CHARLET ;85;14578504
2134;Audouin;PORTIER ;35;36765611
2135;Albertine;FERRY ;57;86751556
2136;Anémone;DEMAY ;54;67365345
2137;Adélaïde;JANVIER ;76;70137972
2138;Adrien;DUFOUR ;55;69480615
2139;Astride;HUGUET ;36;15917557
2140;Florian;ABADIE ;24;44630719
2141;Estevan;CONTE ;49;85931045
2142;Gaud;COLLIN ;43;16951729
2143;Girart;JACQUET ;81;33813049
2144;Arielle;HAMEL ;70;93513179
2145;Gérald;MICHELET ;92;83237009
2146;Marcel;BEAUFILS ;91;79833982
2147;Moïsette;SERRES ;98;94080228
2148;Landry;SIMONNET ;19;78813091
2149;Viviane;MORVAN ;53;19951739
2150;Brunehaut;SIMON ;93;79259728
2151;Aldegonde;FERRAND ;27;3552449
2152;Armin;VIALA ;66;48231474
2153;Olivia;PASQUET ;83;57363467
2154;Raymonde;RENOU ;39;66296901
2155;Aliette;ROUSSET ;22;20401166
2156;Angilberte;PRUDHOMME ;28;26444197
2157;Jonas;LOISON ;42;72760341
2158;Hedwige;CROUZET ;57;21180152
2159;Avigaelle;JANVIER ;23;40100657
2160;Rodolphe;MORICE ;52;82852041
2161;Alcée;MONTEIL ;67;41115208
2162;Isadora;MONNET ;82;95851246
2163;Béranger;HONORE ;41;33281959
2164;Azeline;BAZIN ;27;56080541
2165;Yvon;MICHAUX ;24;54333332
2166;Xavière;GUILLEMIN ;66;97851219
2167;Vladimir;DUHAMEL ;98;67351043
2168;Auxence;GILLET ;79;99541430
2169;Firmin;VIGIER ;61;26154714
2170;Pécine;MILLET ;98;77941334
2171;Florian;HAMEL ;37;51295097
2172;Alexine;ROLLIN ;99;79569994
2173;Emilie;LEMONNIER ;82;29270621
2174;Gisèle;RAIMBAULT ;64;29609293
2175;Abondance;LANG ;76;77245111
2176;Ulysse;LELOUP ;47;26742475
2177;Bouchard;GEORGET ;59;15484202
2178;Jacinthe;BARDET ;21;349576
2179;Roch;SOULARD ;67;72173797
2180;Alphonsine;OGER ;23;62416236
2181;Anastasiane;FOULON ;81;57646507
2182;Apollonie;CLAIN ;43;91940297
2183;Eléna;GEFFROY ;90;84977830
2184;Gwenaëlle;JEANNIN ;86;16381744
2185;Jourdain;MASSON ;47;69115326
2186;Girart;CHAPELLE ;57;83732363
2187;Auxane;GUY ;26;22811711
2188;Brunehilde;WEBER ;85;97263414
2189;Agnane;GUIGNARD ;68;40335711
2190;Noé;BESSON ;79;96528877
2191;Clotaire;CHATEAU ;32;3872158
2192;Agnan;CHATEAU ;83;10884835
2193;Gui;PINEAU ;19;29655467
2194;Caribert;GUILLOUX ;22;5317041
2195;Raoul;BAUDOIN ;64;10314740
2196;Gondebaud;PINEL ;83;12818669
2197;Mylène;BONNAUD ;86;43190031
2198;Fulbert;BOULARD ;34;82711107
2199;Sidoine;MIQUEL ;20;15028007
2200;Gonzague;ALVES ;61;38905001
2201;Maguelone;RAULT ;18;61311344
2202;Michèle;FORESTIER ;59;42171284
2203;Epiphane;DOUCET ;90;10143330
2204;Fulbert;LATOUR ;26;4428204
2205;Kevin;FAVRE ;18;78002332
2206;Félicité;MIQUEL ;95;92204730
2207;Néhémie;POTTIER ;48;18231106
2208;Andéol;GEORGE ;68;89624509
2209;Vital;DELCROIX ;63;57215768
2210;Noëlle;JOURDAN ;78;93242765
2211;Paulette;BONNARD ;97;69353394
2212;Armandie;SIMON ;82;29926955
2213;Dieudonnée;GREGOIRE ;45;89772993
2214;Bouchard;BAUDET ;99;94677597
2215;Odon;LEGRAND ;46;81467409
2216;Adolphie;PRAT ;98;73083890
2217;Chamas;ALBERT ;93;96243394
2218;Moïse;SORIN ;59;15780102
2219;Ghislain;RIOU ;93;90207043
2220;Abigaïl;DIOT ;37;3428138
2221;Fantine;GIRAUD ;43;60023240
2222;Lucile;PORTE ;69;85243848
2223;Théophraste;RAYMOND ;42;16726231
2224;Stéphane;SERGENT ;89;67429799
2225;Régine;LAROCHE ;100;78785857
2226;Ansberte;BERTHIER ;100;19396778
2227;Ophélie;BELLANGER ;52;91081918
2228;Valentin;LEGAY ;74;38630781
2229;Aloyse;CLAIN ;75;38830477
2230;Clotilde;ROMAIN ;80;2545424
2231;Angilberte;PAQUET ;63;14724178
2232;Ambre;DUJARDIN ;96;10712754
2233;Sylvain;BERTHET ;53;45491956
2234;Stéphan;LEFORT ;96;15298213
2235;Ernestine;BESNARD ;37;96585726
2236;Nathalie;PRIGENT ;21;8213309
2237;Agnan;BON ;33;15286069
2238;Roseline;PONS ;73;80020629
2239;Fulgence;GARCIA ;87;96078242
2240;Raymond;CHABERT ;59;17530826
2241;Loup;SOULIER ;31;66122351
2242;Arlette;NAVARRO ;69;135932
2243;Héloïse;DOUCET ;33;88189481
2244;Célia;BISSON ;84;36057988
2245;Amantine;CROS ;47;48900581
2246;Aignan;LAMBERT ;69;78693893
2247;Alphonse;LE MEUR ;71;24660833
2248;Renaud;VILLARD ;79;29228097
2249;Victoria;CHARBONNIER ;20;2727073
2250;Auxence;LEHMANN ;81;37266829
2251;Soline;FEVRIER ;74;39121544
2252;Richard;PRIGENT ;19;60526636
2253;Tristan;BLOT ;48;3639018
2254;Charlotte;GUERY ;25;54822413
2255;Médéric;LEVASSEUR ;34;53802670
2256;Herluin;CARDON ;93;39718194
2257;Timoléon;MULLER ;96;18388752
2258;Maximilien;CARON ;19;58615941
2259;Christiane;VINCENT ;97;90398990
2260;Ariste;ROUXEL ;90;37902305
2261;Zacharie;SIMON ;96;73881798
2262;Auriane;PICHOT ;80;75913480
2263;Nathalie;FORESTIER ;22;85348396
2264;Arian;LALLEMENT ;88;24247334
2265;Danièle;LAGARDE ;53;22145680
2266;Cassien;MICHEL ;19;51576156
2267;Estelle;BONNIN ;61;82284644
2268;Arcade;LABORDE ;93;8828191
2269;Cyprien;ROUSSEL ;70;63528085
2270;Adrehilde;COURTOIS ;95;3756914
2271;Astrée;LAURET ;54;3823096
2272;Antide;GOUPIL ;52;15283704
2273;Anselme;BOURDIN ;83;39681379
2274;Sylvestre;PINEL ;50;31395139
2275;Aloïse;LALLEMAND ;22;91993510
2276;Harmonie;LETELLIER ;47;66140500
2277;Pélagie;RIGAUD ;51;84576928
2278;Aymard;BOUCHARD ;82;75458930
2279;Théophraste;RIBEIRO ;51;68254969
2280;Geoffroy;LEDUC ;97;45515457
2281;Stéphane;BARDIN ;86;51564172
2282;Leila;DUBOST ;74;79695708
2283;Julien;CHOQUET ;66;27645712
2284;Hubert;PAGE ;45;96167163
2285;Corentine;GARREAU ;77;5433391
2286;Béatrix;BRUNEL ;31;45276783
2287;Amaryllis;VILLARD ;19;68175886
2288;Malaury;PICHON ;49;34135
2289;Absalon;BARRET ;56;35630723
2290;Amantine;COSTA ;19;92937345
2291;Mathilde;TISSERAND ;73;94114161
2292;Almire;FORTIN ;17;43401358
2293;Géraud;NICOLAS ;88;35721077
2294;Malaury;GOURDON ;29;89293717
2295;Ludivine;LEFORT ;48;27117657
2296;Aurelle;AUVRAY ;48;3364047
2297;Adalsinde;RODRIGUES ;63;35665092
2298;Anaïs;COUDERT ;75;128267
2299;Octave;CAPRON ;27;72773701
2300;Théodora;BONNEFOY ;55;5098943
2301;Maud;GAILLARD ;79;54185753
2302;Didier;RIGAUD ;67;25351469
2303;Théodora;SERRE ;63;96554270
2304;Agrippin;COLLARD ;81;30891312
2305;Angelin;AUBERT ;83;2827768
2306;Jeanine;MAURICE ;82;31197448
2307;Angilbe;MAZET ;85;81907854
2308;Armelle;SCHAEFFER ;43;11624408
2309;Alexine;MAURY ;23;35757316
2310;Juliette;COLIN ;33;56433941
2311;Auxence;SCHMITT ;95;52758986
2312;Landry;AVRIL ;25;73714006
2313;Guy;QUERE ;76;39835593
2314;Anatole;LEVEQUE ;58;22340862
2315;Félicie;PRIEUR ;28;66020391
2316;Nadège;LENOIR ;20;98734631
2317;Emmanuelle;LECLERC ;92;89234359
2318;Lambert;RAYNAUD ;79;3772435
2319;Sylvestre;VERGNE ;57;80472760
2320;Cassien;MARIE ;96;60899126
2321;Anicette;LANG ;52;70962730
2322;Véronique;BOISSON ;61;92618833
2323;Anstrudie;THEVENET ;51;68447245
2324;Albin;CHARTIER ;92;64863642
2325;Gabriel;SCHNEIDER ;71;65478371
2326;Raoul;ROUSSELLE ;88;28461558
2327;Tonnin;BOUSQUET ;74;15763551
2328;Sixtine;DUPIN ;82;33165614
2329;Guyot;LANGLAIS ;98;2794143
2330;Nadine;FORESTIER ;67;76235760
2331;Blanche;POIROT ;65;30840563
2332;Anastase;MUNOZ ;44;4942278
2333;Matthias;SAUVAGE ;43;6763381
2334;Sandrine;CHRETIEN ;71;71987663
2335;Néhémie;LEFEBVRE ;49;45796049
2336;Cyriaque;LALLEMENT ;56;57345965
2337;André;GUIBERT ;41;7751332
2338;Olivier;LATOUR ;96;47669408
2339;Corinne;DUBUS ;72;89612474
2340;Judith;PAYET ;44;39147347
2341;Quitterie;FAUVEL ;85;56748762
2342;Agathe;BARTHELEMY ;30;33849591
2343;Amélie;BLAISE ;88;47546900
2344;Ysaline;FOUQUET ;22;83598087
2345;Argine;LABORDE ;72;3510163
2346;Ariste;BARRE ;29;20332959
2347;Aurore;VERRIER ;90;83670661
2348;Sophie;LAFONT ;89;80040145
2349;Thomas;KOCH ;29;92566217
2350;Suzanne;BENOIT ;52;5897581
2351;Absalon;DUBOS ;90;70801811
2352;Adelin;CAPELLE ;89;71857262
2353;Scholastique;COUDERT ;50;36670470
2354;Bernard;COLLIN ;95;38797983
2355;Anastasiane;LE ROUX ;58;57365656
2356;Hugo;VANNIER ;89;36360152
2357;Yoann;GERARD ;72;81890387
2358;Norbert;CASANOVA ;91;55607874
2359;Françoise;PICHOT ;36;47733154
2360;Alexandre;GODARD ;78;19582056
2361;Christodule;BASTIEN ;43;28662255
2362;Aurèle;BRIAND ;35;3149111
2363;Fulcran;BOUILLON ;60;98607774
2364;Régine;MENARD ;91;35905804
2365;Agilbert;FABRE ;84;42427283
2366;Célia;JOSEPH ;42;9516846
2367;Titien;LABBE ;36;95008992
2368;Amant;GUIRAUD ;62;50871483
2369;Ferdinand;CHABERT ;36;87212140
2370;Nicole;NORMAND ;77;95691534
2371;Max;ROCHE ;85;40464496
2372;Emmanuel;PASQUET ;29;11081087
2373;Robert;WEBER ;70;17272164
2374;Clémentine;FAYE ;79;74165814
2375;Bodon;MICHON ;65;57310525
2376;Adegrin;NORMAND ;25;879544
2377;Olive;MARTINET ;73;6422538
2378;Job;LABAT ;90;39830968
2379;Syrine;MOUNIER ;75;57173651
2380;Gaston;BERTHE ;73;92155514
2381;Jonas;LEVEQUE ;37;53385791
2382;Tonnin;TANGUY ;97;78065344
2383;Alverède;DELAPORTE ;35;19181083
2384;Guérin;MICHELET ;76;79211080
2385;Roger;DOS SANTOS ;23;16637311
2386;Anatoline;ROUSSEAU ;33;56973176
2387;Adelphe;SELLIER ;89;59677741
2388;Rebecca;ETIENNE ;94;8883087
2389;Marceau;CHEMIN ;22;34422920
2390;René;GASNIER ;31;74566423
2391;Delphine;DOS SANTOS ;77;31697498
2392;Apollonie;BOULARD ;81;47746490
2393;Réjeanne;PEREIRA ;63;47451741
2394;Aude;MANCEAU ;91;14246838
2395;Mélina;METAYER ;82;87251977
2396;Gaël;VARLET ;20;99035785
2397;Axelle;DESCHAMPS ;31;23896409
2398;Paulette;ANDRIEU ;31;1038316
2399;Cassien;MOUTON ;39;60173480
2400;Emma;GRANGER ;50;99017916
2401;Ysoline;HOAREAU ;24;28526360
2402;Mélissandre;LEMAITRE ;64;30643187
2403;Cora;BESSE ;60;22340199
2404;Gautier;KOCH ;58;98270547
2405;Marina;LE BIHAN ;59;65510077
2406;Clotilde;LAVIGNE ;84;82549280
2407;Adonise;BUREL ;90;98795756
2408;Chloé;LAMOTTE ;46;96501900
2409;Annabelle;SAUNIER ;77;75528478
2410;Sylvain;PEREIRA ;60;7080066
2411;Muriel;PUJOL ;27;74979728
2412;Isidore;MAYER ;89;78538362
2413;Olympe;NICOLAS ;42;77104136
2414;Pauline;PIERRON ;28;71880137
2415;Rolande;CORNET ;84;63280702
2416;Guenièvre;HUMBERT ;88;96880756
2417;Armand;DESCAMPS ;29;87888083
2418;Justine;BELLET ;98;77581428
2419;Abeline;CLERC ;90;63752921
2420;Georgette;ROLAND ;77;82470899
2421;Absalon;GUY ;47;48731136
2422;Fiona;SAULNIER ;55;90258502
2423;Thibert;FAUCHER ;92;30078408
2424;Anaelle;MARTINET ;98;94791619
2425;Antonine;CONTE ;78;82485579
2426;Abelle;CLERC ;65;12564657
2427;Perceval;BERTRAND ;24;43317470
2428;Mauricet;MANGIN ;36;26897402
2429;Rebecca;PASCAL ;43;30270129
2430;Athina;BOUTIN ;24;99047936
2431;Juste;LE BORGNE ;39;32829324
2432;Mylène;MAILLOT ;46;70245766
2433;Clémence;PERRON ;20;61191394
2434;Agénor;MENARD ;65;40973724
2435;Lison;MAZET ;98;52892224
2436;Paule;SAULNIER ;46;44023956
2437;Ulrich;RONDEAU ;33;82758666
2438;Alcibiade;VERGER ;30;33996489
2439;Gilbert;GUILLOT ;89;45260444
2440;Valentin;BEAU ;34;59273994
2441;Auguste;VERNET ;23;39999769
2442;Constant;JUNG ;27;90919624
2443;Gaston;GENET ;56;51578211
2444;Lola;DEJEAN ;59;32765867
2445;Ludolphe;MARTINEZ ;63;37130042
2446;Cédric;LOISEL ;70;76403541
2447;César;LEMARCHAND ;98;96089107
2448;Aricie;CHOPIN ;97;64261084
2449;Aloys;PORTIER ;92;27503470
2450;Marguerite;LELOUP ;85;44876649
2451;Arsènie;CHAMBON ;63;19337052
2452;Monique;BONTEMPS ;63;4533002
2453;Amour;LECONTE ;32;41198681
2454;Adolphe;TORRES ;80;24583751
2455;Corentin;BASSET ;41;4647007
2456;Marlène;MENARD ;47;4266239
2457;Carle;FELIX ;64;51471307
2458;Yvonne;TISSIER ;95;97953151
2459;Guillemette;BONNARD ;20;31578904
2460;Rodolphe;PONCET ;26;64634739
2461;Eric;BRAUN ;56;67755667
2462;Henriette;BASTIEN ;58;86126920
2463;Lorène;CHARTON ;45;69805229
2464;Rosalie;GARNIER ;51;44871793
2465;Amarynthe;LEBEAU ;100;23999495
2466;Georges;PROVOST ;20;36365854
2467;Gustavine;LANGLOIS ;21;41648333
2468;Andéol;MARTY ;81;53067192
2469;Nadia;VALENTIN ;45;11170207
2470;Théo;BAUDOUIN ;96;56962634
2471;Alcyone;NAVARRO ;33;73594392
2472;Rosalie;PAUL ;45;1508702
2473;Antheaume;HENRY ;71;7832099
2474;Bertrand;ARNAUD ;25;6164682
2475;Archibald;BAILLEUL ;97;63683212
2476;Anceline;LABAT ;55;8740290
2477;Archambaud;BESNARD ;80;27702920
2478;Aimable;GAUTHIER ;87;53893632
2479;Daphnée;BLANCHARD ;67;33229978
2480;Aurèle;LAMARQUE ;29;35696101
2481;Gautier;BOUCHARD ;84;11572413
2482;Fanny;CARLIER ;45;58860641
2483;Benjamin;BESSE ;52;89211896
2484;Gilbert;LAUNAY ;44;3605088
2485;Valérie;MAGNIN ;60;77959910
2486;Arminie;HAMEL ;55;17561414
2487;Inès;JOLY ;96;60432823
2488;Ambroisie;BARTHE ;86;50177450
2489;Raphaël;RAULT ;95;42006634
2490;Joachim;GONZALEZ ;38;6788816
2491;Corinne;GIMENEZ ;52;5038573
2492;Sixtine;PROVOST ;32;11557681
2493;Alverède;CORRE ;79;29237427
2494;Amantine;BROCHARD ;17;55473597
2495;Arcadiane;HUGUET ;79;16178913
2496;Ambrine;SALOMON ;44;75177709
2497;Aubertine;CHERON ;82;57831504
2498;Brunehilde;GUILLET ;91;8129958
2499;Cora;PIQUET ;37;4553809
2500;Josselin;DUMAS ;22;5762567
2501;Maëlys;DUBOS ;76;33699182
2502;Régis;COUSIN ;45;64282876
2503;Gaston;LANG ;47;22381885
2504;Karine;ALBERT ;19;19489492
2505;Flore;CASTEL ;28;45580915
2506;Adon;BOUCHARD ;94;63977154
2507;Achaire;LAPORTE ;86;88344375
2508;Turold;MAS ;77;15598656
2509;Adelphe;LEPINE ;38;41139193
2510;Estelle;HAMON ;33;8779162
2511;Rebecca;TOUSSAINT ;41;81481265
2512;Jonas;PAYEN ;86;72110262
2513;Amante;WEISS ;53;3369831
2514;Geoffroy;JACOB ;20;48242430
2515;Alpinien;ROYER ;43;5921827
2516;Amélien;PICARD ;48;16017220
2517;Albin;AVRIL ;73;32440347
2518;Joanny;BOUR ;89;42133870
2519;Rémi;BARRIERE ;78;36325096
2520;Acaciane;RIVIERE ;22;66054926
2521;Paterne;LAURET ;66;62429623
2522;Fortunée;BOULAY ;30;24397095
2523;Réjeanne;FORTIN ;81;81115166
2524;Alphonsine;DERRIEN ;55;61120706
2525;Berthe;POTTIER ;35;70673
2526;Régine;LAPLACE ;29;25558539
2527;Aignan;BATAILLE ;22;56467966
2528;Armel;TISSERAND ;94;6442772
2529;Rolande;VOISIN ;66;51547236
2530;Loup;BUISSON ;86;71771967
2531;Mégane;BOUYER ;52;46351423
2532;Aliénor;DUPUY ;80;91196329
2533;Miriam;FORT ;63;10299440
2534;Sixte;BOIS ;97;23955917
2535;Miriam;JAMES ;71;20243955
2536;Alberte;BIDAULT ;20;58442719
2537;Gabrielle;TERRIER ;62;11231553
2538;Avigaelle;CHARPENTIER ;17;83292551
2539;Auriane;LAPORTE ;24;82223227
2540;Coraline;HAMON ;78;43596051
2541;Agilbert;SCHMITT ;60;12685943
2542;Aurèle;PRUVOST ;96;78775295
2543;Alphonsine;CLEMENT ;35;61654981
2544;Camélien;VANNIER ;84;45141846
2545;Emmanuel;SAULNIER ;76;72043227
2546;Raoul;RENAUD ;88;57981813
2547;Doriane;BOSSARD ;92;99813759
2548;Ferdinand;GIBERT ;50;31385304
2549;Soline;BARRET ;82;35227750
2550;Nadège;ROYER ;43;7097953
2551;Stéphane;VIAL ;66;63616750
2552;Adeltrude;VIVIER ;28;15614203
2553;Harmonie;CHAMBON ;71;58621918
2554;Annie;CLERC ;69;26666075
2555;Valère;CAILLET ;90;83459424
2556;Armande;BARTHELEMY ;55;33626621
2557;Vinciane;DUJARDIN ;49;73465718
2558;Hippolyte;BOIVIN ;30;74765868
2559;Herbert;ALEXANDRE ;78;34922988
2560;Solène;DELAHAYE ;89;30279639
2561;Virginie;PAUL ;85;46506589
2562;Diane;BOUCHARD ;84;4003528
2563;Bertille;BARRAUD ;67;33189357
2564;Aricie;CARRIERE ;46;12491645
2565;Anémone;CHATELAIN ;49;99585810
2566;Alice;LABORDE ;58;54942176
2567;Eric;TOUSSAINT ;61;22199852
2568;Annie;GOUJON ;52;57108396
2569;Baptiste;GUILLARD ;77;4555598
2570;Chrétien;CHATEAU ;78;97410154
2571;Aubin;LALLEMENT ;43;2807971
2572;Fiona;PAGES ;61;53066377
2573;Rosalie;POULAIN ;68;48884542
2574;Amalthée;PIERRON ;43;2342006
2575;Anastasie;BLAISE ;25;23192253
2576;Luna;JACQUET ;49;46673387
2577;Edith;SERRES ;30;29760468
2578;Nadine;DUBOURG ;89;85200100
2579;Apolline;GEFFROY ;61;58750581
2580;Aubérie;SARRAZIN ;90;38944168
2581;Amaryllis;VIDAL ;86;54346914
2582;Flodoard;RIVET ;65;20233323
2583;Séverin;PAYET ;99;70589037
2584;Suzette;MARECHAL ;38;38546768
2585;Hélène;GILLET ;92;62573321
2586;Aelis;PRUNIER ;100;96993677
2587;Marina;CHAMBON ;51;82474378
2588;Chrétien;FLEURY ;40;39548481
2589;Lilian;ALVES ;21;36240171
2590;Ariane;COUSIN ;77;83016978
2591;Roseline;JACQUES ;86;18666619
2592;Laurine;OGER ;28;25538878
2593;Soleine;LALANDE ;28;85722532
2594;Audette;MAILLOT ;44;40416197
2595;Clément;GUERIN ;33;43827227
2596;Elie;PREVOT ;68;71807258
2597;Andéol;DELATTRE ;54;89657454
2598;Amande;PAQUET ;63;42351331
2599;Olga;POTIER ;22;73861800
2600;Simon;THUILLIER ;22;15841398
2601;Anselme;BRUNEAU ;70;27253241
2602;Irina;DEVAUX ;17;93627850
2603;Aymardine;HEMERY ;86;56731975
2604;Emmanuelle;FAVRE ;65;955627
2605;Quitterie;KOCH ;74;71468835
2606;Lorrain;COUSIN ;88;21377583
2607;Moïse;PARIS ;25;38097829
2608;Guenièvre;BRUNEL ;99;71097409
2609;Réjeanne;MILLET ;78;62027870
2610;Aymon;MIQUEL ;17;77841848
2611;Camélien;LUCAS ;69;29561029
2612;Valéry;BOSSARD ;62;1766307
2613;Pacôme;FORTIN ;24;13644912
2614;Eliette;LECLERE ;90;2178878
2615;Hélène;PAGES ;59;62885294
2616;Esther;SERRE ;34;93379501
2617;Faustine;MUNOZ ;41;25606294
2618;Audouin;CONAN ;43;5643958
2619;Violette;GAUDIN ;20;85262431
2620;Gatien;AUBRY ;56;48728673
2621;Christelle;VERON ;74;56565754
2622;Douce;CALVET ;84;12920778
2623;Audran;PASCAL ;28;37973126
2624;Suzette;BONNEAU ;19;64540905
2625;Stéphane;CHARTON ;45;64142694
2626;Ernest;LAGARDE ;42;33410681
2627;Bénigne;LASSALLE ;21;99406136
2628;Gustavine;MAZET ;61;54049908
2629;Bruno;AUFFRET ;80;85540862
2630;Médéric;MARECHAL ;71;54995994
2631;Alix;BOUQUET ;78;19117767
2632;Marie;TAVERNIER ;46;22989939
2633;Lauren;GERMAIN ;65;71217055
2634;Abelle;JOSEPH ;98;22572422
2635;Arsinoé;BERNIER ;27;92728349
2636;Mathurin;BOULANGER ;68;55862517
2637;Théophraste;JARDIN ;59;18376833
2638;Norbert;PELISSIER ;77;41163360
2639;Marc;MARTIN ;68;35812546
2640;Sixtine;BISSON ;27;19596194
2641;Abigaëlle;CHRISTOPHE ;35;90009474
